Região Geográfica;Unidade da Federação;Município;Código do Município;Número de Matrículas da Educação Básica;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total1-3;Sexo e Cor/Raça;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Feminino;;;;;;;Masculino;;;;;;;;;;;;;;;;
;;;;;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;Total;Não Declarada;Branca;Preta;Parda;Amarela;Indígena;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Norte  ; Acre  ; Senador Guiomard  ;1200450; 6.350 ; 3.017 ; 1.434 ; 176 ; 19 ; 1.379 ; 5 ; 4 ; 3.333 ; 1.650 ; 167 ; 30 ; 1.483 ; 2 ; 1 ;;;;;;;;;;
 Norte  ; Acre  ; Tarauacá  ;1200609; 16.084 ; 7.746 ; 784 ; 890 ; 161 ; 5.078 ; 36 ; 797 ; 8.338 ; 755 ; 871 ; 164 ; 5.619 ; 40 ; 889 ;;;;;;;;;;
 Norte  ; Acre  ; Xapuri  ;1200708; 4.323 ; 2.099 ; 833 ; 180 ; 22 ; 1.059 ; 5 ; -   ; 2.224 ; 877 ; 188 ; 34 ; 1.123 ; 2 ; -   ;;;;;;;;;;
 Norte  ; Amazonas  ;    ; ; 1.149.598 ; 567.805 ; 87.691 ; 42.685 ; 4.206 ; 387.444 ; 631 ; 45.148 ; 581.793 ; 88.263 ; 40.610 ; 4.466 ; 400.635 ; 660 ; 47.159 ;;;;;;;;;;
 Norte  ; Amazonas  ; Alvarães  ;1300029; 6.643 ; 3.256 ; 94 ; 29 ; 6 ; 2.643 ; 1 ; 483 ; 3.387 ; 95 ; 10 ; 10 ; 2.725 ; -   ; 547 ;;;;;;;;;;
 Norte  ; Amazonas  ; Amaturá  ;1300060; 4.215 ; 2.139 ; 24 ; 11 ; 4 ; 847 ; 2 ; 1.251 ; 2.076 ; 11 ; 13 ; 2 ; 848 ; -   ; 1.202 ;;;;;;;;;;
 Norte  ; Amazonas  ; Anamã  ;1300086; 3.281 ; 1.631 ; 539 ; 83 ; 2 ; 885 ; 2 ; 120 ; 1.650 ; 545 ; 50 ; 3 ; 953 ; 1 ; 98 ;;;;;;;;;;
 Norte  ; Amazonas  ; Anori  ;1300102; 4.343 ; 2.156 ; 223 ; 217 ; 5 ; 1.709 ; 1 ; 1 ; 2.187 ; 196 ; 207 ; 9 ; 1.771 ; 1 ; 3 ;;;;;;;;;;
 Norte  ; Amazonas  ; Apuí  ;1300144; 4.030 ; 2.016 ; 194 ; 477 ; 24 ; 1.311 ; -   ; 10 ; 2.014 ; 206 ; 454 ; 30 ; 1.308 ; 5 ; 11 ;;;;;;;;;;
 Norte  ; Amazonas  ; Atalaia do Norte  ;1300201; 7.117 ; 3.415 ; 97 ; 253 ; 20 ; 1.434 ; -   ; 1.611 ; 3.702 ; 90 ; 244 ; 15 ; 1.558 ; 2 ; 1.793 ;;;;;;;;;;
 Norte  ; Amazonas  ; Autazes  ;1300300; 12.704 ; 6.119 ; 620 ; 323 ; 35 ; 3.825 ; 6 ; 1.310 ; 6.585 ; 614 ; 319 ; 34 ; 4.069 ; 5 ; 1.544 ;;;;;;;;;;
 Norte  ; Amazonas  ; Barcelos  ;1300409; 5.501 ; 2.746 ; 929 ; 88 ; 15 ; 1.299 ; 2 ; 413 ; 2.755 ; 933 ; 78 ; 23 ; 1.289 ; -   ; 432 ;;;;;;;;;;
 Norte  ; Amazonas  ; Barreirinha  ;1300508; 13.066 ; 6.423 ; 1.079 ; 283 ; 68 ; 3.608 ; 21 ; 1.364 ; 6.643 ; 1.188 ; 277 ; 95 ; 3.615 ; 22 ; 1.446 ;;;;;;;;;;
 Norte  ; Amazonas  ; Benjamin Constant  ;1300607; 14.899 ; 7.353 ; 981 ; 111 ; 6 ; 3.351 ; 3 ; 2.901 ; 7.546 ; 939 ; 95 ; 13 ; 3.425 ; 4 ; 3.070 ;;;;;;;;;;
 Norte  ; Amazonas  ; Beruri  ;1300631; 8.178 ; 4.028 ; 520 ; 75 ; 4 ; 3.019 ; 2 ; 408 ; 4.150 ; 447 ; 62 ; 11 ; 3.219 ; 1 ; 410 ;;;;;;;;;;
 Norte  ; Amazonas  ; Boa Vista do Ramos  ;1300680; 6.458 ; 3.185 ; 200 ; 22 ; 19 ; 2.901 ; -   ; 43 ; 3.273 ; 169 ; 18 ; 9 ; 3.036 ; -   ; 41 ;;;;;;;;;;
 Norte  ; Amazonas  ; Boca do Acre  ;1300706; 9.359 ; 4.671 ; 2.076 ; 449 ; 48 ; 1.862 ; 8 ; 228 ; 4.688 ; 2.021 ; 371 ; 48 ; 1.954 ; 9 ; 285 ;;;;;;;;;;
 Norte  ; Amazonas  ; Borba  ;1300805; 11.767 ; 5.719 ; 1.297 ; 78 ; 17 ; 3.505 ; 4 ; 818 ; 6.048 ; 1.455 ; 86 ; 22 ; 3.568 ; 6 ; 911 ;;;;;;;;;;
 Norte  ; Amazonas  ; Caapiranga  ;1300839; 4.096 ; 2.031 ; 607 ; 23 ; 2 ; 1.396 ; -   ; 3 ; 2.065 ; 605 ; 31 ; 5 ; 1.422 ; -   ; 2 ;;;;;;;;;;
